ID,JOIN_COUNT
kml_1,1
kml_2,1
kml_3,1
kml_4,2
kml_5,1
kml_6,1
kml_7,4
kml_8,1
kml_9,1
kml_10,3
kml_11,1
kml_12,2
kml_13,1
kml_14,1
kml_15,4
kml_16,1
kml_17,1
kml_18,1
kml_19,1
kml_20,2
kml_21,1
kml_22,1
kml_23,1
kml_24,1
kml_25,1
kml_26,1
kml_27,1
kml_28,1
kml_29,1
kml_30,1
kml_31,1
kml_32,1
kml_33,1
kml_34,1
kml_35,1
kml_36,1
kml_37,1
kml_38,1
kml_39,1
kml_40,1
kml_41,2
kml_42,2
kml_43,1
kml_44,1
kml_45,2
kml_46,2
kml_47,2
kml_48,2
kml_49,3
kml_50,1
kml_51,3
kml_52,1
kml_53,1
kml_54,1
kml_55,1
kml_56,1
kml_57,1
kml_58,1
kml_59,1
kml_60,1
kml_61,1
kml_62,1
kml_63,1
kml_64,1
kml_65,1
kml_66,1
kml_67,1
kml_68,1
kml_69,1
kml_70,1
kml_71,1
kml_72,1
kml_73,1
kml_74,2
kml_75,2
kml_76,2
kml_77,1
kml_78,1
kml_79,1
kml_80,2
kml_81,4
kml_82,3
kml_83,1
kml_84,2
kml_85,6
kml_86,10
kml_87,2
kml_88,6
kml_89,4
kml_90,2
kml_91,4
kml_92,6
kml_93,1
kml_94,1
kml_95,2
kml_96,2
kml_97,1
kml_98,4
kml_99,2
kml_100,2
kml_101,5
kml_102,2
kml_103,1
kml_104,1
kml_105,3
kml_106,4
kml_107,1
kml_108,4
kml_109,5
kml_110,2
kml_111,1
kml_112,1
kml_113,2
kml_114,2
kml_115,2
kml_116,3
kml_117,1
kml_118,1
kml_119,1
kml_120,1
kml_121,1
kml_122,1
kml_123,1
kml_124,4
kml_125,2
kml_126,1
kml_127,1
kml_128,2
kml_129,1
kml_130,5
kml_131,1
kml_132,1
kml_133,2
kml_134,1
kml_135,1
kml_136,2
kml_137,1
kml_138,1
kml_139,4
kml_140,3
kml_141,1
kml_142,1
kml_143,1
kml_144,2
kml_145,2
kml_146,1
kml_147,3
kml_148,1
kml_149,1
kml_150,2
kml_151,1
kml_152,2
kml_153,1
kml_154,1
kml_155,1
kml_156,1
kml_157,1
kml_158,1
kml_159,3
kml_160,2
kml_161,2
kml_162,2
kml_163,1
kml_164,1
kml_165,2
kml_166,1
kml_167,1
kml_168,1
kml_169,3
kml_170,2
kml_171,1
kml_172,1
kml_173,1
kml_174,1
kml_175,1
kml_176,1
kml_177,2
kml_178,1
kml_179,1
kml_180,2
kml_181,1
kml_182,2
kml_183,6
kml_184,2
kml_185,3
kml_186,2
kml_187,2
kml_188,2
kml_189,1
kml_190,1
kml_191,1
kml_192,2
kml_193,1
kml_194,1
kml_195,2
kml_196,1
kml_197,1
kml_198,1
kml_199,2
kml_200,1
kml_201,1
kml_202,1
kml_203,1
kml_204,1
kml_205,1
kml_206,1
kml_207,1
kml_208,1
kml_209,1
kml_210,1
kml_211,1
kml_212,1
kml_213,1
kml_214,1
kml_215,1
kml_216,1
kml_217,1
kml_218,2
kml_219,1
kml_220,1
kml_221,1
kml_222,2
kml_223,1
kml_224,1
kml_225,2
kml_226,1
kml_227,4
kml_228,1
kml_229,1
kml_230,1
kml_231,1
kml_232,2
kml_233,2
kml_234,1
kml_235,1
kml_236,1
kml_237,1
kml_238,1
kml_239,1
kml_240,1
kml_241,1
kml_242,1
kml_243,1
kml_244,1
kml_245,3
